School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NYC DOE,K695,Kings,Public School,65,No,0,0,0,65,Yes,12/13/2016,64,1,Yes,Yes,12/28/2016,No website for building,K695,1258 65TH STREET,Brooklyn,NY,11219,01/13/2017,01/13/2017,"(40.65642, -73.950691)","1258 65TH STREET
Brooklyn, NY 11219
(40.62640308400006, -74.00226524499993)"
NYC DOE,X090,Bronx,Public School,90,No,0,0,0,90,Yes,01/14/2017,89,1,Yes,Yes,01/24/2017,No website for building,X090,1116 SHERIDAN AVENUE,Bronx,NY,10456,01/25/2017,01/25/2017,"(40.85589, -73.868294)","1116 SHERIDAN AVENUE
Bronx, NY 10456
(40.83209808300006, -73.91787481899996)"
NYC DOE,M660,New York,Public School,35,No,0,0,0,35,Yes,01/14/2017,33,2,Yes,Yes,02/13/2017,No website for building,M660,127 EAST 22 STREET,Manhattan,NY,10010,02/14/2017,02/14/2017,"(40.726966, -74.005966)","127 EAST 22 STREET
Manhattan, NY 10010
(40.738959272000045, -73.98547170199998)"
NYC DOE,K286,Kings,Public School,109,No,0,0,0,109,Yes,12/15/2016,98,11,Yes,Yes,12/27/2016,No website for building,K286,2525 HARING STREET,Brooklyn,NY,11235,01/12/2017,01/12/2017,"(40.65642, -73.950691)","2525 HARING STREET
Brooklyn, NY 11235
(40.59137233700005, -73.93911524799995)"
NYC DOE,K034,Kings,Public School,28,No,0,0,0,28,Yes,12/07/2016,28,0,No,Yes,12/21/2016,http://schools.nyc.gov/SchoolPortals/14/k034/default.htm,K034,131 NORMAN AVENUE,Brooklyn,NY,11222,01/06/2017,01/06/2017,"(40.65642, -73.950691)","131 NORMAN AVENUE
Brooklyn, NY 11222
(40.72612867700008, -73.94963008599996)"
NYC DOE,K520,Kings,Public School,20,No,0,0,0,20,Yes,12/23/2016,17,3,Yes,Yes,02/03/2017,No website for building,K520,112 SCHERMERHORN STREET,Brooklyn,NY,11201,02/06/2017,02/06/2017,"(40.65642, -73.950691)","112 SCHERMERHORN STREET
Brooklyn, NY 11201
(40.69017240000005, -73.98920023099998)"
NYC DOE,K560,Kings,Public School,57,No,0,0,0,57,Yes,12/09/2016,57,0,No,Yes,12/20/2016,No website for building,K560,550 59 STREET,Brooklyn,NY,11220,01/05/2017,01/05/2017,"(40.65642, -73.950691)","550 59 STREET
Brooklyn, NY 11220
(40.639198485000065, -74.01427362699997)"
NYC DOE,X918,Bronx,Public School,10,No,0,0,0,10,Yes,01/07/2017,9,1,Yes,Yes,01/26/2017,No website for building,X918,4011 MONTICELLO AVENUE,Bronx,NY,10466,02/03/2017,02/03/2017,"(40.85589, -73.868294)","4011 MONTICELLO AVENUE
Bronx, NY 10466
(40.891896375000044, -73.83858735799998)"
NYC DOE,X938,Bronx,Public School,4,No,0,0,0,4,Yes,01/18/2017,4,0,No,Yes,02/16/2017,No website for building,X938,2060 LAFAYETTE AVENUE,Bronx,NY,10473,02/17/2017,02/17/2017,"(40.85589, -73.868294)","2060 LAFAYETTE AVENUE
Bronx, NY 10473
(40.822627674000046, -73.85351976799996)"
NYC DOE,X177,Bronx,Public School,147,No,0,0,0,147,Yes,01/13/2017,143,4,Yes,Yes,01/30/2017,No website for building,X177,3177 WEBSTER AVENUE,Bronx,NY,10467,02/03/2017,02/03/2017,"(40.85589, -73.868294)","3177 WEBSTER AVENUE
Bronx, NY 10467
(40.872189132000074, -73.87574405599997)"
NYC DOE,K121,Kings,Public School,53,No,0,0,0,53,Yes,12/15/2016,51,2,Yes,Yes,01/05/2017,http://schools.nyc.gov/SchoolPortals/21/K121/default.htm,K121,5301 20 AVENUE,Brooklyn,NY,11204,01/20/2017,01/20/2017,"(40.65642, -73.950691)","5301 20 AVENUE
Brooklyn, NY 11204
(40.62301081700008, -73.97906253499997)"
NYC DOE,K298,Kings,Public School,104,No,0,0,0,104,Yes,11/29/2016,102,2,Yes,Yes,12/20/2016,http://schools.nyc.gov/SchoolPortals/23/k298/default.htm,K298,85 WATKINS STREET,Brooklyn,NY,11212,01/05/2017,01/05/2017,"(40.65642, -73.950691)","85 WATKINS STREET
Brooklyn, NY 11212
(40.67082663200006, -73.90815853799995)"
NYC DOE,K250,Kings,Public School,129,No,0,0,0,129,Yes,12/08/2016,121,8,Yes,Yes,12/21/2016,http://schools.nyc.gov/SchoolPortals/14/K250/default.htm,K250,108 MONTROSE AVENUE,Brooklyn,NY,11206,01/06/2017,01/06/2017,"(40.65642, -73.950691)","108 MONTROSE AVENUE
Brooklyn, NY 11206
(40.707066594000025, -73.94545743399993)"
NYC DOE,X181,Bronx,Public School,64,No,0,0,0,64,Yes,01/12/2017,61,3,Yes,Yes,01/23/2017,http://schools.nyc.gov/SchoolPortals/11/X181/default.htm,X181,800 BAYCHESTER AVENUE,Bronx,NY,10475,01/24/2017,01/24/2017,"(40.85589, -73.868294)","800 BAYCHESTER AVENUE
Bronx, NY 10475
(40.87552365300007, -73.83376933299996)"
NYC DOE,X105,Bronx,Public School,79,No,0,0,0,79,Yes,01/14/2017,66,13,Yes,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/11/X105/default.htm,X105,725 BRADY AVENUE,Bronx,NY,10462,02/03/2017,02/03/2017,"(40.85589, -73.868294)","725 BRADY AVENUE
Bronx, NY 10462
(40.85241150000007, -73.86645116499994)"
NYC DOE,K991,Kings,Public School,7,No,0,0,0,7,Yes,12/02/2016,6,1,Yes,Yes,12/20/2016,http://schools.nyc.gov/SchoolPortals/19/k007/default.htm,K991,858 JAMAICA AVENUE,Brooklyn,NY,11208,01/05/2017,01/05/2017,"(40.65642, -73.950691)","858 JAMAICA AVENUE
Brooklyn, NY 11208
(40.68967781900005, -73.87305881499998)"
NYC DOE,K005,Kings,Public School,127,No,0,0,0,127,Yes,12/02/2016,126,1,Yes,Yes,12/22/2016,http://schools.nyc.gov/SchoolPortals/16/K005/default.htm,K005,820 HANCOCK STREET,Brooklyn,NY,11233,01/09/2017,01/09/2017,"(40.65642, -73.950691)","820 HANCOCK STREET
Brooklyn, NY 11233
(40.685666627000046, -73.92262965699996)"
NYC DOE,X034,Bronx,Public School,138,No,0,0,0,138,Yes,01/12/2017,136,2,Yes,Yes,01/18/2017,No website for building,X034,770 GROTE STREET,Bronx,NY,10460,01/24/2017,01/24/2017,"(40.85589, -73.868294)","770 GROTE STREET
Bronx, NY 10460
(40.85055020000004, -73.88380225799995)"
NYC DOE,K625,Kings,Public School,169,No,0,0,0,169,Yes,12/20/2016,105,64,Yes,Yes,12/29/2016,No website for building,K625,150 ALBANY AVENUE,Brooklyn,NY,11213,01/17/2017,01/17/2017,"(40.65642, -73.950691)","150 ALBANY AVENUE
Brooklyn, NY 11213
(40.675429406000035, -73.93890492999998)"
NORWICH CITY SCHOOL DISTRICT,STANFORD J GIBSON PRIMARY SCHOOL,Chenango,Public School,101,No,0,0,0,2,Yes,11/11/2016,101,2,Yes,Yes,11/11/2016,www.norwichcsd.org,081200050002,RIDGELAND RD,NORWICH,NY,13815,10/12/2018,10/12/2018,"(42.481798, -75.570013)","RIDGELAND RD
NORWICH, NY 13815
(42.54059147300006, -75.52877434399994)"
NYC DOE,K917,Kings,Public School,62,No,0,0,0,62,Yes,12/13/2016,44,18,Yes,Yes,12/28/2016,No website for building,K917,350 CONEY ISLAND AVENUE,Brooklyn,NY,11218,01/13/2017,01/13/2017,"(40.65642, -73.950691)","350 CONEY ISLAND AVENUE
Brooklyn, NY 11218
(40.64920453600007, -73.97169803799994)"
NYC DOE,X140,Bronx,Public School,130,No,0,0,0,130,Yes,01/19/2017,126,4,Yes,Yes,01/26/2017,http://schools.nyc.gov/SchoolPortals/08/X140/default.htm,X140,916 EAGLE AVENUE,Bronx,NY,10456,02/03/2017,02/03/2017,"(40.85589, -73.868294)","916 EAGLE AVENUE
Bronx, NY 10456
(40.82340370600008, -73.90787022899997)"
NYC DOE,K327,Kings,Public School,159,No,0,0,0,159,Yes,12/08/2016,158,1,Yes,Yes,12/27/2016,http://schools.nyc.gov/SchoolPortals/23/K327/default.htm,K327,111 BRISTOL STREET,Brooklyn,NY,11212,01/12/2017,01/12/2017,"(40.65642, -73.950691)","111 BRISTOL STREET
Brooklyn, NY 11212
(40.66887809100007, -73.91240167799998)"
NYC DOE,X235,Bronx,Public School,129,No,0,0,0,129,Yes,01/19/2017,112,17,Yes,Yes,02/02/2017,No website for building,X235,1220 GERARD AVENUE,Bronx,NY,10452,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1220 GERARD AVENUE
Bronx, NY 10452
(40.83584038600003, -73.92002150199994)"
NYC DOE,K371,Kings,Public School,84,No,0,0,0,84,Yes,12/03/2016,70,14,Yes,Yes,12/19/2016,http://schools.nyc.gov/SchoolPortals/15/k371/default.htm,K371,355 37 STREET,Brooklyn,NY,11232,01/04/2017,01/04/2017,"(40.65642, -73.950691)","355 37 STREET
Brooklyn, NY 11232
(40.65405184700006, -74.00545548999997)"
NYC DOE,K400,Kings,Public School,78,No,0,0,0,78,Yes,12/24/2016,61,17,Yes,Yes,01/10/2017,No website for building,K400,2630 BENSON AVENUE,Brooklyn,NY,11214,01/23/2017,01/23/2017,"(40.65642, -73.950691)","2630 BENSON AVENUE
Brooklyn, NY 11214
(40.59358578700005, -73.98473017399994)"
NYACK UNION FREE SCHOOL,NYACK SENIOR HIGH SCHOOL,Rockland,Public School,37,No,20,0,0,17,Yes,10/06/2016,37,0,No,Yes,11/10/2016,www.nyackschools.org,500304030006,360 CHRISTIAN HERALD RD,UPPER NYACK,NY,10960,10/12/2018,10/12/2018,"(41.127287, -74.017033)","360 CHRISTIAN HERALD RD
UPPER NYACK, NY 10960
(41.10911084600008, -73.92777739099995)"
NYC DOE,K062,Kings,Public School,90,No,0,0,0,90,Yes,12/14/2016,70,20,Yes,Yes,12/23/2016,http://schools.nyc.gov/SchoolPortals/20/K062/default.htm,K062,700 CORTELYOU ROAD,Brooklyn,NY,11218,01/10/2017,01/10/2017,"(40.65642, -73.950691)","700 CORTELYOU ROAD
Brooklyn, NY 11218
(40.63869562700006, -73.97126998999994)"
NYC DOE,K014,Kings,Public School,47,No,0,0,0,47,Yes,01/07/2017,44,3,Yes,Yes,01/17/2017,http://schools.nyc.gov/SchoolPortals/22/K014/default.htm,K014,2424 BATCHELDER STREET,Brooklyn,NY,11235,01/24/2017,01/24/2017,"(40.65642, -73.950691)","2424 BATCHELDER STREET
Brooklyn, NY 11235
(40.593495992000044, -73.93768849999998)"
NYC DOE,X081,Bronx,Public School,76,No,0,0,0,76,Yes,01/13/2017,75,1,Yes,Yes,01/31/2017,http://schools.nyc.gov/SchoolPortals/10/X081/default.htm,X081,5550 RIVERDALE AVENUE,Bronx,NY,10471,02/03/2017,02/03/2017,"(40.85589, -73.868294)","5550 RIVERDALE AVENUE
Bronx, NY 10471
(40.90361602200005, -73.90520143699996)"
NYC DOE,X008,Bronx,Public School,114,No,0,0,0,114,Yes,01/18/2017,108,6,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/10/X008/default.htm,X008,3010 BRIGGS AVENUE,Bronx,NY,10458,02/03/2017,02/03/2017,"(40.85589, -73.868294)","3010 BRIGGS AVENUE
Bronx, NY 10458
(40.872577539000076, -73.88357434799997)"
NYC DOE,M088,New York,Public School,191,No,0,0,0,191,Yes,01/21/2017,160,31,Yes,Yes,02/11/2017,No website for building,M088,215 WEST 114 STREET,Manhattan,NY,10026,02/13/2017,02/13/2017,"(40.726966, -74.005966)","215 WEST 114 STREET
Manhattan, NY 10026
(40.802220188000035, -73.95412886599996)"
NYC DOE,X184,Bronx,Public School,153,No,0,0,0,153,Yes,01/19/2017,150,3,Yes,Yes,02/02/2017,No website for building,X184,778 FOREST AVENUE,Bronx,NY,10456,02/03/2017,02/03/2017,"(40.85589, -73.868294)","778 FOREST AVENUE
Bronx, NY 10456
(40.81879668000005, -73.90592023599999)"
NYC DOE,M827,New York,Public School,31,No,0,0,0,31,Yes,02/15/2017,27,4,Yes,Yes,03/13/2017,No website for building,M827,500 8 AVENUE,Manhattan,NY,10018,03/15/2017,03/15/2017,"(40.726966, -74.005966)","500 8 AVENUE
Manhattan, NY 10018
(40.75311271100003, -73.99274760999998)"
NYC DOE,X006,Bronx,Public School,79,No,0,0,0,79,Yes,01/18/2017,78,1,Yes,Yes,02/02/2017,http://schools.nyc.gov/SchoolPortals/12/X006/default.htm,X006,1000 EAST TREMONT AVENUE,Bronx,NY,10460,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1000 EAST TREMONT AVENUE
Bronx, NY 10460
(40.84054709500003, -73.88147487999998)"
NYC DOE,X064,Bronx,Public School,62,No,0,0,0,62,Yes,01/20/2017,60,2,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/09/X064/default.htm,X064,1425 WALTON AVENUE,Bronx,NY,10452,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1425 WALTON AVENUE
Bronx, NY 10452
(40.840257929000074, -73.91549036699996)"
NYC DOE,M824,New York,Public School,80,No,0,0,0,80,Yes,01/14/2017,80,0,No,Yes,02/13/2017,No website for building,M824,75 BROAD STREET,Manhattan,NY,10004,02/14/2017,02/14/2017,"(40.726966, -74.005966)","75 BROAD STREET
Manhattan, NY 10004
(40.704918948000056, -74.01151627799999)"
NYC DOE,K284,Kings,Public School,52,No,0,0,0,52,Yes,12/07/2016,51,1,Yes,Yes,12/20/2016,http://schools.nyc.gov/SchoolPortals/23/k284/default.htm,K284,213 OSBORN STREET,Brooklyn,NY,11212,01/05/2017,01/05/2017,"(40.65642, -73.950691)","213 OSBORN STREET
Brooklyn, NY 11212
(40.667002051000054, -73.90810725699998)"
NYC DOE,X717,Bronx,Public School,22,No,0,0,0,22,Yes,03/31/2017,22,0,No,Yes,04/07/2017,http://schools.nyc.gov/SchoolPortals/09/X717/default.htm,X717,1506-30 BROOK AVENUE,Bronx,NY,10457,04/10/2017,04/10/2017,"(40.85589, -73.868294)","1506-30 BROOK AVENUE
Bronx, NY 10457
(40.83839566300003, -73.90512421799997)"
NYC DOE,K324,Kings,Public School,78,No,0,0,0,78,Yes,11/29/2016,70,8,Yes,Yes,12/21/2016,http://schools.nyc.gov/SchoolPortals/16/K267/default.htm,K324,800 GATES AVENUE,Brooklyn,NY,11221,01/06/2017,01/06/2017,"(40.65642, -73.950691)","800 GATES AVENUE
Brooklyn, NY 11221
(40.688261613000066, -73.93246887299995)"
NYC DOE,K178,Kings,Public School,47,No,0,0,0,47,Yes,12/02/2016,44,3,Yes,Yes,12/29/2016,http://schools.nyc.gov/SchoolPortals/23/K178/default.htm,K178,2163 DEAN STREET,Brooklyn,NY,11233,01/17/2017,01/17/2017,"(40.65642, -73.950691)","2163 DEAN STREET
Brooklyn, NY 11233
(40.675027431000046, -73.91537118899998)"
NYC DOE,K105,Kings,Public School,85,No,0,0,0,85,Yes,12/16/2016,75,10,Yes,Yes,01/03/2017,http://schools.nyc.gov/SchoolPortals/20/K105/default.htm,K105,1031 59 STREET,Brooklyn,NY,11219,01/19/2017,01/19/2017,"(40.65642, -73.950691)","1031 59 STREET
Brooklyn, NY 11219
(40.63298405100005, -74.00382506499994)"
NYC DOE,X146,Bronx,Public School,118,No,0,0,0,118,Yes,01/07/2017,118,0,No,Yes,01/12/2017,http://schools.nyc.gov/SchoolPortals/08/X146/default.htm,X146,968 CAULDWELL AVENUE,Bronx,NY,10456,01/24/2017,01/24/2017,"(40.85589, -73.868294)","968 CAULDWELL AVENUE
Bronx, NY 10456
(40.82515157100005, -73.90604932699995)"
NYC DOE,M072,New York,Public School,63,No,0,0,0,63,Yes,01/06/2017,62,1,Yes,Yes,01/16/2017,http://schools.nyc.gov/SchoolPortals/04/M072/default.htm,M072,131 EAST 104 STREET,Manhattan,NY,10029,01/24/2017,01/24/2017,"(40.726966, -74.005966)","131 EAST 104 STREET
Manhattan, NY 10029
(40.791130155000076, -73.94764084099995)"
NYC DOE,M620,New York,Public School,142,No,0,0,0,142,Yes,01/28/2017,140,2,Yes,Yes,02/07/2017,No website for building,M620,111 EAST 33RD STREET,Manhattan,NY,10016,02/08/2017,02/08/2017,"(40.726966, -74.005966)","111 EAST 33RD STREET
Manhattan, NY 10016
(40.74610624400003, -73.98101209599997)"
NYC DOE,X314,Bronx,Public School,44,No,0,0,0,44,Yes,01/13/2017,41,3,Yes,Yes,01/27/2017,No website for building,X314,4520 MATILDA AVENUE,Bronx,NY,10470,02/03/2017,02/03/2017,"(40.85589, -73.868294)","4520 MATILDA AVENUE
Bronx, NY 10470
(40.901628982000034, -73.85420755099994)"
NYC DOE,X808,Bronx,Public School,12,No,0,0,0,12,Yes,01/18/2017,12,0,No,Yes,02/01/2017,No website for building,X808,3010 BRIGGS AVENUE,Bronx,NY,10458,02/03/2017,02/03/2017,"(40.85589, -73.868294)","3010 BRIGGS AVENUE
Bronx, NY 10458
(40.872577539000076, -73.88357434799997)"
NYC DOE,K186,Kings,Public School,70,No,0,0,0,70,Yes,12/13/2016,65,5,Yes,Yes,12/27/2016,http://schools.nyc.gov/SchoolPortals/20/K186/default.htm,K186,7601 19 AVENUE,Brooklyn,NY,11214,01/12/2017,01/12/2017,"(40.65642, -73.950691)","7601 19 AVENUE
Brooklyn, NY 11214
(40.611265649000075, -73.99485231199998)"
NYC DOE,X080,Bronx,Public School,102,No,0,0,0,102,Yes,01/18/2017,99,3,Yes,Yes,02/02/2017,http://schools.nyc.gov/SchoolPortals/10/X080/default.htm,X080,149 EAST MOSHOLU PKWY N,Bronx,NY,10467,02/03/2017,02/03/2017,"(40.85589, -73.868294)","149 EAST MOSHOLU PKWY N
Bronx, NY 10467
(40.876713660000064, -73.88166154299995)"
NYC DOE,X498,Bronx,Public School,174,No,0,0,0,174,Yes,01/12/2017,163,11,Yes,Yes,01/23/2017,http://schools.nyc.gov/SchoolPortals/11/X498/default.htm,X498,1640 BRONXDALE AVE,Bronx,NY,10462,01/24/2017,04/28/2017,"(40.85589, -73.868294)","1640 BRONXDALE AVE
Bronx, NY 10462
(40.84438771900005, -73.85786133299996)"
NYC DOE,K979,Kings,Public School,16,No,0,0,0,16,Yes,01/28/2017,16,0,No,Yes,02/01/2017,No website for building,K979,317 HOYT STREET,Brooklyn,NY,11231,02/03/2017,02/03/2017,"(40.65642, -73.950691)","317 HOYT STREET
Brooklyn, NY 11231
(40.68044477400008, -73.99191489499998)"
NYC DOE,X035,Bronx,Public School,48,No,0,0,0,48,Yes,01/19/2017,47,1,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/09/X035/default.htm,X035,261 EAST 163 STREET,Bronx,NY,10451,02/03/2017,02/03/2017,"(40.85589, -73.868294)","261 EAST 163 STREET
Bronx, NY 10451
(40.827438691000054, -73.91803484799993)"
NYC DOE,X456,Bronx,Public School,4,No,0,0,0,4,Yes,03/30/2017,4,0,No,Yes,03/31/2017,No website for building,X456,750 BAYCHESTER AVENUE,Bronx,NY,10475,04/05/2017,04/05/2017,"(40.85589, -73.868294)","750 BAYCHESTER AVENUE
Bronx, NY 10475
(40.87405599900006, -73.83380666499994)"
NYC DOE,K824,Kings,Public School,62,No,0,0,0,62,Yes,12/14/2016,56,6,Yes,Yes,01/13/2017,No website for building,K824,402 EASTERN PARKWAY,Brooklyn,NY,11225,01/24/2017,01/24/2017,"(40.65642, -73.950691)","402 EASTERN PARKWAY
Brooklyn, NY 11225
(40.669845518000045, -73.95510169899995)"
NYC DOE,M002,New York,Public School,157,No,0,0,0,157,Yes,01/10/2017,152,5,Yes,Yes,01/24/2017,http://schools.nyc.gov/SchoolPortals/02/M002/default.htm,M002,122 HENRY STREET,Manhattan,NY,10002,01/25/2017,01/25/2017,"(40.726966, -74.005966)","122 HENRY STREET
Manhattan, NY 10002
(40.71324756200005, -73.99137118599998)"
NYC DOE,M844,New York,Public School,55,No,0,0,0,55,Yes,01/05/2017,45,10,Yes,Yes,01/13/2017,No website for building,M844,400 FIRST AVENUE,Manhattan,NY,10010,01/24/2017,01/24/2017,"(40.726966, -74.005966)","400 FIRST AVENUE
Manhattan, NY 10010
(40.737030434000076, -73.97841853699998)"
NYC DOE,K013,Kings,Public School,148,No,0,0,0,148,Yes,02/17/2017,134,14,Yes,Yes,02/24/2017,http://schools.nyc.gov/SchoolPortals/19/K013/default.htm,K013,557 PENNSYLVANIA AVENUE,Brooklyn,NY,11207,02/13/2017,03/08/2017,"(40.65642, -73.950691)","557 PENNSYLVANIA AVENUE
Brooklyn, NY 11207
(40.663625626000055, -73.89371612599996)"
NYC DOE,X460,Bronx,Public School,106,No,0,0,0,106,Yes,01/19/2017,102,4,Yes,Yes,01/31/2017,No website for building,X460,244 EAST 163 STREET,Bronx,NY,10451,02/03/2017,02/03/2017,"(40.85589, -73.868294)","244 EAST 163 STREET
Bronx, NY 10451
(40.82764634200004, -73.91887928699998)"
NYC DOE,M848,New York,Public School,28,No,0,0,0,28,Yes,01/05/2017,21,7,Yes,Yes,01/11/2017,No website for building,M848,500 WEST 138 STREET,Manhattan,NY,10031,01/24/2017,01/24/2017,"(40.726966, -74.005966)","500 WEST 138 STREET
Manhattan, NY 10031
(40.821470979000026, -73.95246457799993)"
NYC DOE,X032,Bronx,Public School,79,No,0,0,0,79,Yes,01/19/2017,76,3,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/10/X032/default.htm,X032,690 EAST 183 STREET,Bronx,NY,10458,02/03/2017,02/03/2017,"(40.85589, -73.868294)","690 EAST 183 STREET
Bronx, NY 10458
(40.851976741000044, -73.88573290599999)"
NYC DOE,X443,Bronx,Public School,17,No,0,0,0,17,Yes,01/13/2017,17,0,No,Yes,01/17/2017,No website for building,X443,3605 SEDGWICK AVENUE,Bronx,NY,10463,01/24/2017,01/24/2017,"(40.85589, -73.868294)","3605 SEDGWICK AVENUE
Bronx, NY 10463
(40.881417182000064, -73.89656874199994)"
NYC DOE,X937,Bronx,Public School,20,No,0,0,0,20,Yes,01/18/2017,19,1,Yes,Yes,02/14/2017,No website for building,X937,3740 BAYCHESTER AVENUE,Bronx,NY,10466,02/15/2017,02/15/2017,"(40.85589, -73.868294)","3740 BAYCHESTER AVENUE
Bronx, NY 10466
(40.884229308000045, -73.84013893699995)"
NYC DOE,K244,Kings,Public School,134,No,0,0,0,134,Yes,12/15/2016,126,8,Yes,Yes,01/12/2017,http://schools.nyc.gov/SchoolPortals/18/K244/default.htm,K244,5404 TILDEN AVENUE,Brooklyn,NY,11203,01/24/2017,01/24/2017,"(40.65642, -73.950691)","5404 TILDEN AVENUE
Brooklyn, NY 11203
(40.648389734000034, -73.92539416699998)"
NYC DOE,M506,New York,Public School,74,No,0,0,0,74,Yes,01/04/2017,72,2,Yes,Yes,01/19/2017,No website for building,M506,140 WEST 102 STREET,Manhattan,NY,10025,01/24/2017,01/24/2017,"(40.726966, -74.005966)","140 WEST 102 STREET
Manhattan, NY 10025
(40.79746692100008, -73.96672252699994)"
NYC DOE,K656,Kings,Public School,64,No,0,0,0,64,Yes,01/28/2017,58,6,Yes,Yes,02/23/2017,http://schools.nyc.gov/SchoolPortals/15/K656/default.htm,K656,500 PACIFIC STREET,Brooklyn,NY,11217,02/27/2017,02/27/2017,"(40.65642, -73.950691)","500 PACIFIC STREET
Brooklyn, NY 11217
(40.68455364400006, -73.98088171099994)"
NYC DOE,X076,Bronx,Public School,45,No,0,0,0,45,Yes,01/18/2017,40,5,Yes,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/11/X076/default.htm,X076,900 ADEE AVENUE,Bronx,NY,10469,02/03/2017,02/03/2017,"(40.85589, -73.868294)","900 ADEE AVENUE
Bronx, NY 10469
(40.86956850000007, -73.86104308699998)"
NYC DOE,X822,Bronx,Public School,41,No,0,0,0,41,Yes,01/13/2017,35,6,Yes,Yes,01/25/2017,No website for building,X822,260 W KINGSBRIDGE RD,Bronx,NY,10463,01/26/2017,01/26/2017,"(40.85589, -73.868294)","260 W KINGSBRIDGE RD
Bronx, NY 10463
(40.872829326000044, -73.90525944199999)"
NYC DOE,X939,Bronx,Public School,10,No,0,0,0,10,Yes,04/26/2017,9,1,Yes,Yes,04/27/2017,No website for building,X939,2392 JEROME AVENUE,Bronx,NY,10468,04/28/2017,04/28/2017,"(40.85589, -73.868294)","2392 JEROME AVENUE
Bronx, NY 10468
(40.86117763800007, -73.90216432899996)"
NYC DOE,X997,Bronx,Public School,6,No,0,0,0,6,Yes,01/18/2017,6,0,No,Yes,01/24/2017,No website for building,X997,1375 MACE AVENUE,Bronx,NY,10469,01/25/2017,01/25/2017,"(40.85589, -73.868294)","1375 MACE AVENUE
Bronx, NY 10469
(40.86285546000005, -73.84696238799995)"
NYC DOE,K158,Kings,Public School,72,No,0,0,0,72,Yes,03/21/2017,72,0,No,Yes,03/22/2017,http://schools.nyc.gov/SchoolPortals/19/K158/default.htm,K158,400 ASHFORD STREET,Brooklyn,NY,11207,12/29/2016,03/23/2017,"(40.65642, -73.950691)","400 ASHFORD STREET
Brooklyn, NY 11207
(40.672568316000024, -73.88483736199998)"
NYC DOE,K123,Kings,Public School,69,No,0,0,0,69,Yes,12/03/2016,65,4,Yes,Yes,12/19/2016,http://schools.nyc.gov/SchoolPortals/32/K123/default.htm,K123,100 IRVING AVENUE,Brooklyn,NY,11237,01/04/2017,01/04/2017,"(40.65642, -73.950691)","100 IRVING AVENUE
Brooklyn, NY 11237
(40.70358878900004, -73.92259062399995)"
NYC DOE,K155,Kings,Public School,62,No,0,0,0,62,Yes,12/01/2016,61,1,Yes,Yes,12/21/2016,http://schools.nyc.gov/SchoolPortals/23/k155/default.htm,K155,1355 HERKIMER STREET,Brooklyn,NY,11233,01/06/2017,01/06/2017,"(40.65642, -73.950691)","1355 HERKIMER STREET
Brooklyn, NY 11233
(40.67741145700006, -73.90866121699997)"
NYC DOE,X019,Bronx,Public School,57,No,0,0,0,57,Yes,01/19/2017,50,7,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/11/X019/default.htm,X019,4318 KATONAH AVENUE,Bronx,NY,10470,02/03/2017,02/03/2017,"(40.85589, -73.868294)","4318 KATONAH AVENUE
Bronx, NY 10470
(40.89930644700007, -73.86747667899994)"
NYC DOE,K743,Kings,Public School,47,No,0,0,0,47,Yes,12/10/2016,31,16,Yes,Yes,12/22/2016,No website for building,K743,475 NOSTRAND AVENUE,Brooklyn,NY,11216,01/09/2017,01/09/2017,"(40.65642, -73.950691)","475 NOSTRAND AVENUE
Brooklyn, NY 11216
(40.681282757000076, -73.94972633199995)"
NYC DOE,M081,New York,Public School,57,No,0,0,0,57,Yes,01/14/2017,44,13,Yes,Yes,01/27/2017,No website for building,M081,212 WEST 120 STREET,Manhattan,NY,10027,02/03/2017,02/03/2017,"(40.726966, -74.005966)","212 WEST 120 STREET
Manhattan, NY 10027
(40.80626081200006, -73.95188446599997)"
